descriptor,label,family,median_rho,q25,q75,ypos
dirichlet,Dirichlet*,landscape,0.654493817547596,0.6323825592013353,0.6980479210693771,8
lipschitz,Lipschitz/SALI*,landscape,0.4487620974422231,0.40551716722225256,0.5099879841645882,7
rf_var,RF variance,uncertainty,0.3577567495112328,0.29891871688703037,0.3732331265349982,6
nbr_disp,nbr dispersion,a-priori,0.2748452908829465,0.2168633621471392,0.3289170203218592,5
sali_mean,SALI-density (mean),a-priori,0.16329661614317387,0.1377668277693074,0.22382482430355036,4
sali_max,SALI-density (max),a-priori,0.12483446870153989,0.09036021917592435,0.17673039370868013,3
nn_sim,NN similarity,applicability domain,0.18423674498529385,0.14945620478743238,0.24483612900193666,2
local_dens,local density,applicability domain,0.18823860775763251,0.1600190956123922,0.2394141014940022,1
holder,Hölder exp.,a-priori,0.012381219554999136,-0.04633390985717186,0.05903419016415243,0
