target,n,cliff_frac,rho_dirichlet,rho_lipschitz,rho_nbr_disp,rho_sali_mean,partial_nbr_disp_AD,rogi,mae_rf,mae_gnn_fixed,mae_gnn_tuned
CHEMBL1862_Ki,161,0.4161490683229814,0.6223631239935589,0.384771106510237,0.32985438150063273,0.23131298826417065,0.2534824828755599,0.04934865662994,0.5876448342425016,0.7787019120120191,0.8855331989271035
CHEMBL1871_Ki,134,0.23880597014925373,0.7595979999750622,0.5105973889948753,0.319332446425924,0.20747451927437743,0.2527030244146158,0.0560262361559633,0.5302710505421987,0.6139610698010891,0.617782334025801
CHEMBL2034_Ki,152,0.34210526315789475,0.767026155181487,0.6528612141963791,0.45437567726672956,0.34150850553707407,0.34962039019078955,0.0742332622974509,0.5031545830690286,0.5877608912094348,0.8264689634462915
CHEMBL2047_EC50,128,0.390625,0.6877975645486175,0.5104490935726057,0.3368817409173961,0.2788350803643674,0.2890154470554825,0.0776286657592658,0.4222160919475714,0.643475969613334,0.5745264178876547
CHEMBL204_Ki,553,0.39783001808318263,0.644603655862644,0.53137677706084,0.398490160928881,0.30240422053134114,0.40564597591988805,0.0581248050506682,0.5473545074472068,0.7959809471408834,0.7604063623404966
CHEMBL2147_Ki,294,0.3945578231292517,0.49668064831069236,0.40462468553106445,0.1896798561720086,0.15432405927473045,0.16017277850380515,0.0530055363360348,0.468425168507205,1.144180136377863,0.7873866185551367
CHEMBL214_Ki,666,0.36786786786786785,0.6470307012720018,0.4287258727880523,0.2729502424587994,0.15775536911094673,0.22313893424239525,0.0633583459306657,0.5140438574629607,0.7128311132569759,0.6704017949363289
CHEMBL218_EC50,208,0.36538461538461536,0.694147957305852,0.44465736399374833,0.29906692236767574,0.15937083791510157,0.26217360495279424,0.0640207008166822,0.5304887558146633,0.6921324388879939,0.6889928588288945
CHEMBL219_Ki,374,0.39572192513368987,0.6993479089905521,0.495657639316999,0.34872565085217533,0.15289919787187645,0.2866299985461041,0.0725834503118789,0.5454588744850575,0.7713108625805842,0.7443947082513372
CHEMBL228_Ki,342,0.3713450292397661,0.654778516702913,0.44967001860387396,0.25204186575746845,0.12210790591475025,0.1879851388424396,0.0621705660076465,0.5237627011368161,0.671562208725408,0.6952186120132949
CHEMBL231_Ki,197,0.2436548223350254,0.672403617653799,0.4478541762805723,0.3164064615398344,0.2241127493678797,0.2143164581884661,0.0514865191179327,0.5638037638045971,0.6979399820997301,0.6358745690372046
CHEMBL233_Ki,630,0.4111111111111111,0.6878823289713595,0.4664045350197129,0.32610493678553854,0.2229610491105623,0.2865818144678463,0.0648590244401626,0.6025024377495237,0.7606851455093918,0.7528713243070575
CHEMBL234_Ki,733,0.43656207366984995,0.6319122120120506,0.43160892744284757,0.2765419611768742,0.125835513755808,0.17593679540191606,0.0653648205321902,0.4877090790838737,0.6597954609991613,0.7280330688757816
CHEMBL235_EC50,472,0.3771186440677966,0.6598172181990274,0.4250304526020114,0.25868892112780856,0.1648896946335302,0.2367813561909471,0.0724968866998294,0.4781436840030521,0.6104244782577022,0.6972049626490938
CHEMBL236_Ki,521,0.3915547024952015,0.6397645671199863,0.39772577332792897,0.27801311398117473,0.20922846146491728,0.26603870720124995,0.0664135278438949,0.520537495540436,0.8098211605409482,0.7014616387614427
CHEMBL237_EC50,193,0.47150259067357514,0.6337936007691897,0.3079963677153998,0.22348892210343627,0.15593106603393486,0.1982751276487786,0.0892399021941111,0.5846445328908663,0.8330055179028587,0.9944842773511468
CHEMBL237_Ki,522,0.4272030651340996,0.6712188013332141,0.3920382505355918,0.27213526872274285,0.13834786034908558,0.26114782571730905,0.0677707751038836,0.548824449891188,0.7018122103360704,0.6275115489490489
CHEMBL238_Ki,213,0.25821596244131456,0.6337953660953554,0.4500634560315516,0.21465484216170685,0.20770336216309523,0.1885601130031426,0.0605098804308287,0.4871636703966093,0.6329753086115779,0.6929298523133846
CHEMBL239_EC50,347,0.40634005763688763,0.6542091183922789,0.4247767963563653,0.29993470302594827,0.16459225594201232,0.2701082676069296,0.0847791870035097,0.5143567525347792,0.6816900772122235,0.6935871823126103
CHEMBL244_Ki,621,0.47665056360708535,0.633938388134011,0.5086046559405358,0.3386619975257456,0.25275579535299714,0.3094035008382834,0.0686575699143406,0.5608247151190896,0.7991374150690553,0.7764724972984793
CHEMBL262_Ki,173,0.18497109826589594,0.631443788792524,0.3857999082190321,0.11601789295891353,0.10595469316124534,0.13434768063257888,0.0633086100130297,0.5712021038721384,0.7513869126000662,0.7846385484797529
CHEMBL264_Ki,574,0.4163763066202091,0.615881204735757,0.3654777675284801,0.2731486205890188,0.16606337823317632,0.2025064471132822,0.066361917240626,0.4768305253673816,0.6204256722659299,0.6846405188628885
CHEMBL2835_Ki,126,0.10317460317460317,0.7399385076865392,0.5877495313085864,0.4880290489146185,0.3577584267536552,0.19805703800107322,0.0627793292629391,0.267085985861658,0.3292640494224933,0.4685001827219407
CHEMBL287_Ki,267,0.3857677902621723,0.6092551939970671,0.38010967381559724,0.18515464307610116,0.007865884354856079,0.1517256419479011,0.0713416749313426,0.5591995004445013,0.6576779279219851,0.7532489514095189
CHEMBL2971_Ki,197,0.17258883248730963,0.7310978844698932,0.520671858960474,0.5445761271311306,0.3229259617664989,0.24165714847705197,0.0431840647759078,0.4311731938444774,0.579546046996185,0.6590482972983552
CHEMBL3979_EC50,226,0.415929203539823,0.5955889958806024,0.4081946122958169,0.09807896530590597,0.02226154232465352,0.04752426410982466,0.0759971221351597,0.4864501031948178,0.6567665499879352,0.6044991470298902
CHEMBL4005_Ki,193,0.41968911917098445,0.7067197265103359,0.6293736935517872,0.13132114463943473,0.1375731502427147,0.06064501104233193,0.0723575820184026,0.4984902472468105,0.6602732666769852,0.6232112906471419
CHEMBL4203_Ki,149,0.087248322147651,0.6165717395247597,0.6080887067739729,0.19204080540621485,0.11447850535098857,0.15987513170979767,0.0524796602878518,0.6653551714089836,0.7916059971141611,0.8484647199181645
CHEMBL4616_EC50,139,0.5251798561151079,0.7281290495553866,0.48457313170092764,0.14681840582325167,0.020595615001561016,0.12708067410386914,0.109922093016936,0.509159843175491,0.6533633789552696,0.6391043305867105
CHEMBL4792_Ki,297,0.5387205387205387,0.7187162757632558,0.46705868476592943,0.23228716734043633,0.16200097634433538,0.2362614395650724,0.0957216086981401,0.5429480391841642,0.6832392364390725,0.7883817705195517
