metric,k,local_var,nbr_disp,nbr_disp_partial
ecfp4,5,0.6455495385144933,0.2761895899622546,0.22150190895349184
ecfp4,10,0.6397257930652991,0.27498513197160623,0.23065432181132006
ecfp4,15,0.6294235849073719,0.25778887035538667,0.20200049689142693
ecfp4,20,0.6134267905036244,0.2350733383263368,0.1844794885238468
ecfp4,30,0.5819231234623201,0.21767411507888582,0.18192476252934703
ecfp6,5,0.640785861504226,0.2659459148450089,0.21613680784935307
ecfp6,10,0.635802333943003,0.28584847783634915,0.24009412330652904
ecfp6,15,0.6288393226094318,0.25455873456491573,0.20692678535389547
ecfp6,20,0.6154346083052347,0.24700810717652377,0.19212171417200702
ecfp6,30,0.5817403340510778,0.2129082899683858,0.17303345715730256
desc,5,0.4578480607397808,0.15022984546269685,0.1286981102127632
desc,10,0.4774377303721313,0.16154429815278132,0.14379457177144112
desc,15,0.45226511408382175,0.1323172549416265,0.10249012747460322
desc,20,0.45854247787655916,0.13900463097749982,0.1066893226314207
desc,30,0.45525913160275133,0.13095940357587466,0.10609718367416172
