predictor,median_rho,oriented_median,frac_consistent,wilcoxon_p,n,fdr_p
dirichlet,0.654493817547596,0.654493817547596,1.0,1.862645149230957e-09,30,2.66092164175851e-09
lipschitz,0.4487620974422231,0.4487620974422231,1.0,1.862645149230957e-09,30,2.66092164175851e-09
rf_var,0.3577567495112328,0.3577567495112328,1.0,1.862645149230957e-09,30,2.66092164175851e-09
nbr_disp,0.2748452908829465,0.2748452908829465,1.0,1.862645149230957e-09,30,2.66092164175851e-09
local_dens,-0.18823860775763251,0.18823860775763251,1.0,1.862645149230957e-09,30,2.66092164175851e-09
nn_sim,-0.18423674498529385,0.18423674498529385,1.0,1.862645149230957e-09,30,2.66092164175851e-09
sali_mean,0.16329661614317387,0.16329661614317387,1.0,1.862645149230957e-09,30,2.66092164175851e-09
sali_max,0.12483446870153989,0.12483446870153989,0.9666666666666667,5.587935447692871e-09,30,6.984919309616089e-09
holder,-0.012381219554999136,0.012381219554999136,0.6,0.6120056137442589,30,0.6120056137442589
mol_size,-0.06305269595024225,-0.06305269595024225,0.26666666666666666,0.0009517744183540344,30,0.0010575271315044826
